dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value,rainStatusNum,AQI_Category
31.6,70.02,548,739,1006.83868,36.86086,175,1,Good
,,,,,,298,,Poor
,,,,,,,,
,,,,,,333,,
,,,,,,318,,
,,,,,,408,,
,,,,,,448,,
,,,,,,312,,
,,,,,,289,,
,,,,,,206,,
,,,,,,248,,
,,,,,,302,,
,,,,,,193,,
,,,,,,151,,
,,,,,,137,,
,,,,,,208,,
,,,,,,172,,
,,,,,,149,,
,,,,,,157,,
,,,,,,242,,
,,,,,,205,,
,,,,,,245,,
,,,,,,244,,
,,,,,,152,,
,,,,,,148,,
,,,,,,158,,
,,,,,,145,,
,,,,,,142,,
,,,,,,180,,
,,,,,,130,,
,,,,,,102,,
,,,,,,113,,
,,,,,,136,,
,,,,,,115,,
,,,,,,108,,
,,,,,,139,,
,,,,,,140,,
,,,,,,100,,
,,,,,,107,,
,,,,,,124,,
,,,,,,201,,
,,,,,,126,,
,,,,,,153,,
,,,,,,176,,
,,,,,,146,,
,,,,,,285,,
,,,,,,178,,
,,,,,,209,,
,,,,,,196,,
,,,,,,156,,
,,,,,,135,,
,,,,,,197,,
,,,,,,200,,
,,,,,,166,,
,,,,,,177,,
,,,,,,235,,
,,,,,,277,,
,,,,,,221,,
,,,,,,204,,
,,,,,,211,,
,,,,,,216,,
,,,,,,220,,
,,,,,,203,,
,,,,,,207,,
,,,,,,125,,
,,,,,,150,,
,,,,,,119,,
,,,,,,121,,
,,,,,,144,,
,,,,,,117,,
,,,,,,118,,
,,,,,,165,,
,,,,,,120,,
,,,,,,114,,
,,,,,,155,,
,,,,,,181,,
,,,,,,167,,
,,,,,,147,,
,,,,,,169,,
,,,,,,186,,
,,,,,,290,,
,,,,,,164,,
,,,,,,187,,
,,,,,,160,,
,,,,,,230,,Very Poor
,,,,,,188,,
,,,,,,191,,Very Poor
,,,,,,189,,Severe
,,,,,,154,,Severe
,,,,,,190,,
,,,,,,104,,
,,,,,,132,,Very Poor
,,,,,,141,,Poor
,,,,,,210,,Poor
,,,,,,92,,Poor
,,,,,,123,,
,,,,,,143,,Very Poor
,,,,,,106,,Moderate
,,,,,,195,,Moderate
,,,,,,194,,Moderate
,,,,,,98,,Poor
,,,,,,112,,Moderate
,,,,,,96,,Moderate
,,,,,,111,,Moderate
,,,,,,129,,Poor
,,,,,,91,,Poor
,,,,,,127,,Poor
,,,,,,97,,Poor
,,,,,,88,,Moderate
,,,,,,163,,Moderate
