dhtTemp,dhthum,LDR value,pressure,altitude,rainValue,rainStatusNum
33.4,64.92,518,1007.60181,36.83058,767,1
33,63.05,454,1007.58954,37.01224,768,1
33,63.22,434,1007.56781,37.03444,769,1
33,63.49,448,1007.56519,36.78769,770,1
34,66.05,441,1007.59467,36.95219,500,1
34,67.51,435,1007.57501,36.49603,501,1
34,64.89,424,1007.62952,36.30782,502,1
34,66.79,445,1007.65204,36.06512,503,1
34.2,77.73,470,1007.68103,36.19782,504,1
33.6,62.9,447,1007.66516,36.02122,505,1
34,53.55,438,1007.68628,36.08126,506,1
34.6,53.95,467,1007.67908,36.14585,507,1
37,62.71,519,1007.67139,36.37291,508,1
35.2,57.37,520,1007.64423,36.50864,509,1
35,50.95,537,1007.62799,36.54699,510,1
35.6,53.57,497,1007.62341,36.53236,511,1
34,59.05,540,1007.62518,36.71957,512,1
35,58.96,551,1007.60278,33.50323,513,1
35,60.08,425,1007.98737,33.06135,525,1
36.2,55.31,449,1008.04016,32.89691,526,1
39,64.88,413,1008.05981,32.68405,527,1
41,55.27,455,1008.08533,32.6326,528,1
39,62.33,422,1008.09143,32.33752,529,1
38.1,65.6,426,1008.12671,32.50196,530,1
37,67.2,418,1008.10706,32.27801,531,1
37,65.44,429,1008.13385,32.32946,532,1
37,61.5,451,1008.12769,32.60032,533,1
35,61.14,481,1008.09534,32.29869,534,1
34.5,56.06,450,1008.13141,32.03439,535,1
34,53.12,474,1008.16296,32.10198,536,1
30,70.95,436,1008.15491,32.11863,537,1
33,64.5,431,1008.15289,31.86694,538,1
36,67.94,471,1008.18304,31.60266,980,1
35.7,60.36,457,1008.2146,31.14119,981,1
36,58.6,458,1008.26984,30.6641,982,1
35,60.48,432,1008.3269,30.57635,983,1
32,62.85,446,1008.3374,30.28285,984,1
33,46.95,479,1008.3725,29.85371,985,1
31,44.01,433,1008.42383,29.89355,805,1
34,45.5,472,1008.41907,29.5804,806,1
34,52.89,463,1008.45648,29.11902,807,1
34.5,48.65,437,1008.51172,28.75345,808,1
35,42.86,483,1008.55542,28.79228,809,1
35,60.79,439,1008.55078,28.34404,810,1
35,60.66,490,1008.60443,28.03245,811,1
36,47.7,743,1008.64166,28.02792,812,1
34,71.07,707,1008.64221,28.14589,813,1
36,66.25,466,1008.62811,28.20589,814,1
36,49.62,202,1008.62091,28.22808,815,1
32,60.05,165,1008.61829,28.04002,816,1
34.1,49.33,241,1008.64081,27.9291,817,1
34.3,57.61,258,1008.65405,27.69264,818,1
36,59.5,231,1008.68237,50.32745,819,1
36.5,67.16,249,1005.97717,50.29966,820,1
36.6,70.89,515,1005.98047,50.51692,821,1
37.4,73.52,462,1005.95453,50.34968,822,1
33.7,73.07,516,1005.97455,50.40324,823,1
35,79.87,504,1005.96814,50.20568,824,1
34,64.26,511,1005.9917,50.10614,825,1
33.2,70.27,492,1006.0036,50.22033,826,1
35,75.13,500,1005.98999,50.34008,827,1
34,73.47,477,1005.97565,50.37848,828,1
35,74.57,501,1005.97107,50.54067,829,1
36,67.85,509,1005.95172,50.27035,830,1
36,66.91,476,1005.98401,50.26227,831,1
36,63.44,477,1005.98499,50.09857,832,1
36,66.46,478,1006.00452,50.16829,833,1
35,65.89,479,1005.99615,50.05511,834,1
34,71.15,480,1006.0097,50.07027,835,1
33,77.72,481,1006.00787,49.86413,836,1
35,68.46,482,1006.03247,49.80199,837,1
36,70.92,483,1006.03992,49.81816,838,1
36,72.79,484,1006.03796,49.8222,839,1
34,69.44,485,1006.03748,49.72671,840,1
35,70.84,486,1006.04889,49.68932,841,1
34,72.1,487,1006.05334,49.92981,842,1
32,66.5,488,1006.02466,50.09503,843,1
34,56.97,489,1006.00494,50.28349,844,1
32,65.22,490,1005.98242,50.21124,845,1
34.2,68.41,491,1005.99103,50.11928,846,1
32,77.69,492,1006.00201,49.80452,847,1
33,74.05,493,1006.03961,49.79491,848,1
33,74.77,494,1006.04077,48.49806,849,1
30,74.75,495,1006.19562,48.54302,850,1
31.2,78.2,496,1006.19025,48.29801,851,1
34,72.78,497,1006.21948,48.31317,852,1
34.1,64.97,498,1006.21765,48.48139,853,1
34,72.73,499,1006.19757,48.47179,854,1
32,67.49,500,1006.19873,48.4627,855,1
31.5,61.64,501,1006.19983,48.40662,856,1
33.6,63.12,502,1006.20654,48.30256,857,1
30.4,68.01,503,1006.21893,48.26972,858,1
34,80.59,504,1006.22284,48.10807,859,1
33,75.27,505,1006.24219,48.16667,860,1
31,73.19,506,1006.23517,48.06614,861,1
33.6,69.82,478,1006.24719,47.99795,862,1
32,73.07,479,1006.25531,48.22375,863,1
32.8,73.61,480,1006.22833,48.27831,864,1
32,74.29,481,1006.22186,48.22931,865,1
33,77.41,482,1006.22766,48.25002,866,1
31.9,74.76,483,1006.22522,48.26619,867,1
32,74.44,484,1006.22327,48.35106,868,1
33,77.18,485,1006.21313,48.39702,869,1
34,74.74,486,1006.20764,48.33944,870,1
32,78.01,487,1006.21454,48.43643,871,1
32.5,84,488,1006.20294,48.47886,872,1
33.2,72.18,489,1006.19788,48.45007,873,1
33,72.76,490,1006.20135,48.3066,874,1
32,83.51,491,1006.21844,48.05907,875,1
32.6,73.31,492,1006.24799,48.17475,876,1
34,82.72,493,1006.23419,48.22527,877,1
31,72.94,147,1006.22815,48.20759,878,1
29,80.1,148,1006.23029,48.33539,879,1
30,72.4,149,1006.21503,48.04948,880,1
32.8,83.16,150,1006.24915,48.12373,881,1
33.2,83.01,151,1006.2403,47.78831,882,1
34.2,76.65,152,1006.28033,47.46806,883,1
34,77.27,153,1006.3186,47.29026,884,1
34.3,76.99,154,1006.33984,47.16348,885,1
33.2,73.02,155,1006.35498,47.25086,886,1
33.3,74.21,156,1006.34454,47.32663,887,1
